Raw Value,Voltage (V),Current (mA),Receiver Ultrasound,Pressure (mmHg)
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1319,1.06,5.91,0.0,4.5
1328,1.07,5.95,0.0,4.5
1328,1.07,5.95,64.0,4.5
1326,1.07,5.94,64.0,4.5
1317,1.06,5.9,64.0,4.5
