Raw Value,Voltage (V),Current (mA),Receiver Ultrasound,Pressure (mmHg)
1874,1.51,8.39,246.0,20.58
1874,1.51,8.39,207.0,20.58
1905,1.54,8.53,257.0,21.23
1899,1.53,8.5,258.0,21.1
1877,1.51,8.4,262.0,20.64
1877,1.51,8.4,258.0,20.64
1882,1.52,8.43,257.0,20.75
1886,1.52,8.44,265.0,20.83
1879,1.51,8.41,260.0,20.68
1869,1.51,8.37,258.0,20.47
1883,1.52,8.43,265.0,20.77
1881,1.52,8.42,262.0,20.73
1875,1.51,8.39,260.0,20.6
1875,1.51,8.39,257.0,20.6
1875,1.51,8.39,259.0,20.6
1875,1.51,8.39,262.0,20.6
1879,1.51,8.41,263.0,20.68
1883,1.52,8.43,262.0,20.77
1855,1.49,8.3,262.0,20.18
1900,1.53,8.51,258.0,21.13
1843,1.49,8.25,221.0,19.93
1889,1.52,8.46,272.0,20.89
1888,1.52,8.45,262.0,20.87
1886,1.52,8.44,272.0,20.83
1882,1.52,8.43,272.0,20.75
1883,1.52,8.43,257.0,20.77
1894,1.53,8.48,272.0,21.0
1891,1.52,8.47,272.0,20.94
1877,1.51,8.4,272.0,20.64
1872,1.51,8.38,272.0,20.54
1872,1.51,8.38,272.0,20.54
1875,1.51,8.39,274.0,20.6
1874,1.51,8.39,276.0,20.58
1735,1.4,7.77,251.0,17.66
1734,1.4,7.76,380.0,17.64
1734,1.4,7.76,403.0,17.64
1735,1.4,7.77,419.0,17.66
1739,1.4,7.79,432.0,17.75
1735,1.4,7.77,443.0,17.66
1739,1.4,7.79,451.0,17.75
1735,1.4,7.77,464.0,17.66
1735,1.4,7.77,474.0,17.66
1735,1.4,7.77,481.0,17.66
1733,1.4,7.76,490.0,17.62
1728,1.39,7.74,498.0,17.52
1730,1.39,7.75,500.0,17.56
1728,1.39,7.74,511.0,17.52
1725,1.39,7.72,511.0,17.45
1719,1.39,7.7,511.0,17.33
1715,1.38,7.68,528.0,17.24
1718,1.38,7.69,530.0,17.31
1724,1.39,7.72,542.0,17.43
1717,1.38,7.69,544.0,17.28
1715,1.38,7.68,548.0,17.24
1722,1.39,7.71,557.0,17.39
1720,1.39,7.7,558.0,17.35
1721,1.39,7.7,560.0,17.37
1723,1.39,7.71,563.0,17.41
1732,1.4,7.75,573.0,17.6
1733,1.4,7.76,575.0,17.62
1739,1.4,7.79,581.0,17.75
1733,1.4,7.76,582.0,17.62
1742,1.4,7.8,590.0,17.81
1744,1.41,7.81,591.0,17.85
1744,1.41,7.81,592.0,17.85
1746,1.41,7.82,599.0,17.89
1744,1.41,7.81,605.0,17.85
1744,1.41,7.81,613.0,17.85
1744,1.41,7.81,605.0,17.85
1744,1.41,7.81,606.0,17.85
1744,1.41,7.81,611.0,17.85
1747,1.41,7.82,615.0,17.91
1754,1.41,7.85,614.0,18.06
1753,1.41,7.85,621.0,18.04
1749,1.41,7.83,631.0,17.96
1751,1.41,7.84,633.0,18.0
1754,1.41,7.85,629.0,18.06
1758,1.42,7.87,634.0,18.14
1775,1.43,7.95,640.0,18.5
1757,1.42,7.87,643.0,18.12
1760,1.42,7.88,645.0,18.19
1763,1.42,7.89,651.0,18.25
1767,1.42,7.91,637.0,18.33
1771,1.43,7.93,662.0,18.42
1776,1.43,7.95,656.0,18.52
1779,1.43,7.96,661.0,18.59
1787,1.44,8.0,663.0,18.75
1792,1.44,8.02,665.0,18.86
1794,1.45,8.03,667.0,18.9
1801,1.45,8.06,670.0,19.05
1817,1.46,8.13,675.0,19.38
1814,1.46,8.12,679.0,19.32
1819,1.47,8.14,685.0,19.43
1825,1.47,8.17,687.0,19.55
1830,1.47,8.19,686.0,19.66
1843,1.49,8.25,687.0,19.93
1845,1.49,8.26,698.0,19.97
1858,1.5,8.32,692.0,20.24
1847,1.49,8.27,697.0,20.01
1846,1.49,8.26,686.0,19.99
1844,1.49,8.26,687.0,19.95
1841,1.48,8.24,681.0,19.89
1840,1.48,8.24,683.0,19.87
1843,1.49,8.25,688.0,19.93
1838,1.48,8.23,686.0,19.82
1840,1.48,8.24,686.0,19.87
1831,1.48,8.2,684.0,19.68
1840,1.48,8.24,688.0,19.87
1840,1.48,8.24,689.0,19.87
1840,1.48,8.24,689.0,19.87
1841,1.48,8.24,690.0,19.89
1824,1.47,8.17,693.0,19.53
1840,1.48,8.24,690.0,19.87
1842,1.48,8.25,698.0,19.91
1840,1.48,8.24,693.0,19.87
1840,1.48,8.24,693.0,19.87
1840,1.48,8.24,693.0,19.87
1840,1.48,8.24,691.0,19.87
1839,1.48,8.23,694.0,19.84
1840,1.48,8.24,693.0,19.87
1840,1.48,8.24,699.0,19.87
1838,1.48,8.23,701.0,19.82
1840,1.48,8.24,701.0,19.87
1839,1.48,8.23,697.0,19.84
1840,1.48,8.24,698.0,19.87
1851,1.49,8.29,705.0,20.1
1867,1.5,8.36,707.0,20.43
1878,1.51,8.41,713.0,20.66
1915,1.54,8.57,717.0,21.44
1936,1.56,8.67,722.0,21.88
1943,1.57,8.7,723.0,22.03
1947,1.57,8.72,727.0,22.11
1943,1.57,8.7,725.0,22.03
1941,1.56,8.69,723.0,21.99
1943,1.57,8.7,720.0,22.03
1936,1.56,8.67,729.0,21.88
1941,1.56,8.69,727.0,21.99
1938,1.56,8.68,727.0,21.92
1937,1.56,8.67,727.0,21.9
1938,1.56,8.68,726.0,21.92
1937,1.56,8.67,730.0,21.9
1938,1.56,8.68,731.0,21.92
1937,1.56,8.67,726.0,21.9
1936,1.56,8.67,733.0,21.88
1938,1.56,8.68,726.0,21.92
1936,1.56,8.67,732.0,21.88
1936,1.56,8.67,732.0,21.88
1936,1.56,8.67,727.0,21.88
1936,1.56,8.67,730.0,21.88
1936,1.56,8.67,731.0,21.88
1936,1.56,8.67,734.0,21.88
1936,1.56,8.67,730.0,21.88
1935,1.56,8.66,731.0,21.86
1937,1.56,8.67,730.0,21.9
1936,1.56,8.67,735.0,21.88
1936,1.56,8.67,731.0,21.88
1943,1.57,8.7,736.0,22.03
1957,1.58,8.76,733.0,22.32
1966,1.58,8.8,737.0,22.51
1974,1.59,8.84,739.0,22.68
1985,1.6,8.89,743.0,22.91
1981,1.6,8.87,743.0,22.83
1982,1.6,8.87,743.0,22.85
1975,1.59,8.84,741.0,22.7
1974,1.59,8.84,746.0,22.68
1978,1.59,8.86,741.0,22.76
1975,1.59,8.84,743.0,22.7
1973,1.59,8.83,746.0,22.66
1975,1.59,8.84,741.0,22.7
1971,1.59,8.82,740.0,22.62
1973,1.59,8.83,737.0,22.66
1970,1.59,8.82,739.0,22.59
1973,1.59,8.83,738.0,22.66
1968,1.59,8.81,737.0,22.55
1970,1.59,8.82,738.0,22.59
1969,1.59,8.82,739.0,22.57
1970,1.59,8.82,737.0,22.59
1968,1.59,8.81,739.0,22.55
1970,1.59,8.82,737.0,22.59
1968,1.59,8.81,736.0,22.55
1969,1.59,8.82,738.0,22.57
1971,1.59,8.82,739.0,22.62
1975,1.59,8.84,738.0,22.7
1971,1.59,8.82,738.0,22.62
1971,1.59,8.82,739.0,22.62
1969,1.59,8.82,736.0,22.57
1975,1.59,8.84,737.0,22.7
1968,1.59,8.81,736.0,22.55
1968,1.59,8.81,734.0,22.55
1973,1.59,8.83,741.0,22.66
1968,1.59,8.81,733.0,22.55
1968,1.59,8.81,736.0,22.55
1971,1.59,8.82,737.0,22.62
1972,1.59,8.83,734.0,22.64
1970,1.59,8.82,736.0,22.59
1968,1.59,8.81,734.0,22.55
1966,1.58,8.8,733.0,22.51
1961,1.58,8.78,733.0,22.41
1967,1.59,8.81,733.0,22.53
1958,1.58,8.77,734.0,22.34
1967,1.59,8.81,730.0,22.53
1968,1.59,8.81,731.0,22.55
1974,1.59,8.84,735.0,22.68
1980,1.6,8.86,736.0,22.8
1982,1.6,8.87,730.0,22.85
1981,1.6,8.87,736.0,22.83
1986,1.6,8.89,735.0,22.93
1989,1.6,8.9,736.0,22.99
1993,1.61,8.92,736.0,23.08
1999,1.61,8.95,736.0,23.2
2001,1.61,8.96,741.0,23.24
2027,1.63,9.07,743.0,23.79
2025,1.63,9.07,748.0,23.75
2035,1.64,9.11,745.0,23.96
2038,1.64,9.12,743.0,24.02
2047,1.65,9.16,745.0,24.21
2047,1.65,9.16,747.0,24.21
2039,1.64,9.13,746.0,24.04
2046,1.65,9.16,746.0,24.19
2038,1.64,9.12,749.0,24.02
2037,1.64,9.12,741.0,24.0
2035,1.64,9.11,752.0,23.96
2033,1.64,9.1,739.0,23.92
2039,1.64,9.13,743.0,24.04
