pressure_mmHg,sensVal,waveAmplitude,
pressure_mmHg, sensVal, waveAmplitude,
0,62,-1537.49,4.304802973
0,54,-1315.86,3.749344525
0,58,-1438.29,4.027073749
0,64,-1587.08,4.443667586
0,57,-1413.49,3.957641443
0,49,-1215.11,3.402182995
0,52,-1267.13,3.610479913
0,58,-1413.33,4.027073749
0,54,-1315.86,3.749344525
0,45,-1077.85,3.124453771
0,47,-1165.51,3.263318383
0,53,-1314.3,3.679912219
0,51,-1264.71,3.541047607
0,42,-1041.52,2.916156853
0,43,-1047.82,2.985589159
0,51,-1264.71,3.541047607
0,49,-1215.11,3.402182995
0,41,-1016.72,2.846724547
0,40,-974.71,2.777292241
0,46,-1101.8,3.193886077
0,48,-1169.66,3.332750689
0,40,-991.93,2.777292241
0,36,-892.73,2.499563017
0,43,-1066.32,2.985589159
0,46,-1120.92,3.193886077
0,39,-967.13,2.707859935
0,35,-867.94,2.430130711
0,40,-991.93,2.777292241
0,45,-1096.55,3.124453771
0,39,-934.14,2.707859935
0,33,-804.14,2.291266099
0,38,-910.18,2.638427629
0,44,-1091.12,3.055021465
0,40,-991.93,2.777292241
0,32,-793.54,2.221833793
0,35,-867.94,2.430130711
0,42,-1023.45,2.916156853
0,40,-991.93,2.777292241
0,33,-818.34,2.291266099
0,33,-804.14,2.291266099
0,41,-999.08,2.846724547
0,41,-999.08,2.846724547
0,33,-818.34,2.291266099
0,32,-779.77,2.221833793
0,39,-967.13,2.707859935
0,42,-1023.45,2.916156853
0,35,-867.94,2.430130711
0,31,-768.74,2.152401487
0,38,-942.33,2.638427629
0,43,-1066.32,2.985589159
0,36,-862.28,2.499563017
0,31,-755.4,2.152401487
0,37,-901.61,2.568995323
0,42,-1041.52,2.916156853
0,38,-942.33,2.638427629
0,32,-793.54,2.221833793
0,35,-867.94,2.430130711
0,42,-1023.45,2.916156853
0,40,-991.93,2.777292241
0,32,-793.54,2.221833793
0,33,-818.34,2.291266099
0,41,-999.08,2.846724547
0,42,-1023.45,2.916156853
0,34,-828.51,2.360698405
0,33,-804.14,2.291266099
0,40,-991.93,2.777292241
0,43,-1066.32,2.985589159
0,37,-917.53,2.568995323
0,32,-793.54,2.221833793
0,38,-925.98,2.638427629
0,44,-1091.12,3.055021465
0,39,-950.35,2.707859935
0,32,-779.77,2.221833793
0,36,-877.24,2.499563017
0,44,-1091.12,3.055021465
0,41,-1016.72,2.846724547
0,32,-779.77,2.221833793
0,34,-843.14,2.360698405
0,43,-1066.32,2.985589159
0,43,-1066.32,2.985589159
0,35,-867.94,2.430130711
0,34,-828.51,2.360698405
0,41,-999.08,2.846724547
0,44,-1053.9,3.055021465
0,36,-877.24,2.499563017
0,32,-793.54,2.221833793
0,39,-967.13,2.707859935
0,45,-1115.92,3.124453771
0,39,-950.35,2.707859935
0,33,-818.34,2.291266099
0,38,-942.33,2.638427629
0,44,-1091.12,3.055021465
0,41,-999.08,2.846724547
0,33,-790.42,2.291266099
0,36,-877.24,2.499563017
0,44,-1053.9,3.055021465
0,43,-1066.32,2.985589159
0,35,-867.94,2.430130711
0,34,-843.14,2.360698405
0,42,-1041.52,2.916156853
0,44,-1072.18,3.055021465
0,37,-917.53,2.568995323
0,33,-818.34,2.291266099
0,41,-999.08,2.846724547
0,46,-1120.92,3.193886077
0,39,-934.14,2.707859935
0,33,-818.34,2.291266099
0,39,-950.35,2.707859935
0,46,-1140.72,3.193886077
0,42,-1041.52,2.916156853
0,34,-843.14,2.360698405
0,37,-917.53,2.568995323
0,46,-1120.92,3.193886077
0,44,-1091.12,3.055021465
0,35,-852.87,2.430130711
0,36,-877.24,2.499563017
0,44,-1072.18,3.055021465
0,46,-1120.92,3.193886077
0,37,-917.53,2.568995323
0,34,-843.14,2.360698405
0,43,-1066.32,2.985589159
0,47,-1165.51,3.263318383
0,40,-974.71,2.777292241
0,35,-867.94,2.430130711
0,42,-1023.45,2.916156853
0,48,-1169.66,3.332750689
0,41,-999.08,2.846724547
0,34,-814.37,2.360698405
0,40,-991.93,2.777292241
0,47,-1145.29,3.263318383
0,43,-1066.32,2.985589159
0,35,-867.94,2.430130711
0,38,-942.33,2.638427629
0,47,-1165.51,3.263318383
0,46,-1120.92,3.193886077
0,36,-877.24,2.499563017
0,37,-901.61,2.568995323
0,46,-1120.92,3.193886077
0,46,-1140.72,3.193886077
0,38,-925.98,2.638427629
0,36,-892.73,2.499563017
0,45,-1115.92,3.124453771
0,48,-1190.31,3.332750689
0,40,-991.93,2.777292241
0,36,-877.24,2.499563017
0,43,-1066.32,2.985589159
0,48,-1149.71,3.332750689
0,42,-1023.45,2.916156853
0,37,-901.61,2.568995323
0,42,-1041.52,2.916156853
0,47,-1165.51,3.263318383
0,43,-1047.82,2.985589159
0,36,-892.73,2.499563017
0,40,-991.93,2.777292241
0,49,-1215.11,3.402182995
0,46,-1140.72,3.193886077
0,37,-886.23,2.568995323
0,39,-950.35,2.707859935
0,48,-1169.66,3.332750689
0,48,-1190.31,3.332750689
0,38,-942.33,2.638427629
0,37,-901.61,2.568995323
0,48,-1190.31,3.332750689
0,51,-1264.71,3.541047607
0,40,-991.93,2.777292241
0,37,-917.53,2.568995323
0,47,-1145.29,3.263318383
0,53,-1291.5,3.679912219
0,44,-1072.18,3.055021465
0,38,-925.98,2.638427629
0,47,-1165.51,3.263318383
0,55,-1340.23,3.818776831
0,47,-1165.51,3.263318383
0,40,-991.93,2.777292241
0,46,-1140.72,3.193886077
0,55,-1363.9,3.818776831
0,50,-1218.39,3.471615301
0,41,-999.08,2.846724547
0,45,-1096.55,3.124453771
0,57,-1388.97,3.957641443
0,53,-1314.3,3.679912219
0,41,-999.08,2.846724547
0,44,-1091.12,3.055021465
0,56,-1388.7,3.888209137
0,55,-1363.9,3.818776831
0,44,-1091.12,3.055021465
0,45,-1096.55,3.124453771
0,55,-1363.9,3.818776831
0,57,-1388.97,3.957641443
0,48,-1169.66,3.332750689
0,45,-1096.55,3.124453771
0,56,-1364.6,3.888209137
0,61,-1512.69,4.235370667
