pressure_mmHg,sensVal,Calculated Value
8.25,444,9.854725895
8.25,442,9.715861283
8.25,445,9.924158201
8.25,445,9.924158201
8.25,443,9.785293589
8.25,443,9.785293589
8.25,445,9.924158201
8.25,444,9.854725895
8.25,443,9.785293589
8.25,445,9.924158201
8.25,445,9.924158201
8.25,443,9.785293589
8.25,445,9.924158201
8.25,446,9.993590507
8.25,443,9.785293589
8.25,445,9.924158201
8.25,447,10.06302281
8.25,444,9.854725895
8.25,445,9.924158201
8.25,447,10.06302281
8.25,445,9.924158201
8.25,445,9.924158201
8.25,447,10.06302281
8.25,447,10.06302281
8.25,445,9.924158201
8.25,447,10.06302281
8.25,447,10.06302281
8.25,445,9.924158201
8.25,447,10.06302281
8.25,448,10.13245512
8.25,446,9.993590507
8.25,446,9.993590507
8.25,448,10.13245512
8.25,447,10.06302281
8.25,446,9.993590507
8.25,448,10.13245512
8.25,448,10.13245512
8.25,446,9.993590507
8.25,448,10.13245512
8.25,448,10.13245512
8.25,447,10.06302281
8.25,448,10.13245512
8.25,449,10.20188743
8.25,448,10.13245512
8.25,447,10.06302281
8.25,450,10.27131973
8.25,448,10.13245512
8.25,447,10.06302281
9,450,10.27131973
9,449,10.20188743
9,448,10.13245512
9,449,10.20188743
9,450,10.27131973
9,448,10.13245512
9,449,10.20188743
9,450,10.27131973
9,449,10.20188743
9,449,10.20188743
9,451,10.34075204
9,450,10.27131973
9,449,10.20188743
9,452,10.41018434
9,451,10.34075204
9,449,10.20188743
9,452,10.41018434
9,452,10.41018434
9,450,10.27131973
9,449,10.20188743
9,453,10.47961665
9,450,10.27131973
9,451,10.34075204
9.75,453,10.47961665
9.75,451,10.34075204
9.75,451,10.34075204
9.75,454,10.54904896
9.75,453,10.47961665
9.75,452,10.41018434
9.75,454,10.54904896
9.75,455,10.61848126
9.75,453,10.47961665
10.5,454,10.54904896
10.5,456,10.68791357
10.5,454,10.54904896
10.5,455,10.61848126
10.5,457,10.75734587
10.5,455,10.61848126
10.5,455,10.61848126
10.5,457,10.75734587
10.5,457,10.75734587
10.5,456,10.68791357
10.5,458,10.82677818
11.25,457,10.75734587
11.25,456,10.68791357
11.25,458,10.82677818
11.25,460,10.96564279
11.25,458,10.82677818
11.25,459,10.89621049
11.25,461,11.0350751
11.25,459,10.89621049
11.25,459,10.89621049
11.25,462,11.1045074
11.25,461,11.0350751
11.25,460,10.96564279
11.25,461,11.0350751
11.25,463,11.17393971
11.25,460,10.96564279
11.25,462,11.1045074
11.25,464,11.24337202
11.25,462,11.1045074
11.25,462,11.1045074
11.25,465,11.31280432
11.25,463,11.17393971
11.25,462,11.1045074
11.25,465,11.31280432
11.25,465,11.31280432
11.25,463,11.17393971
11.25,465,11.31280432
11.25,467,11.45166893
11.25,464,11.24337202
11.25,465,11.31280432
11.25,468,11.52110124
11.25,466,11.38223663
11.25,464,11.24337202
11.25,468,11.52110124
12,468,11.52110124
12,467,11.45166893
12,469,11.59053355
12,469,11.59053355
12,468,11.52110124
12,469,11.59053355
12,471,11.72939816
12,469,11.59053355
12,470,11.65996585
12,472,11.79883046
12,472,11.79883046
12,470,11.65996585
12,473,11.86826277
12,472,11.79883046
12,471,11.72939816
12,474,11.93769508
12,474,11.93769508
12,472,11.79883046
12,474,11.93769508
12.75,476,12.07655969
12.75,474,11.93769508
12.75,474,11.93769508
12.75,477,12.14599199
12.75,475,12.00712738
12.75,475,12.00712738
12.75,478,12.2154243
12.75,477,12.14599199
12.75,476,12.07655969
12.75,478,12.2154243
12.75,479,12.28485661
12.75,477,12.14599199
12.75,479,12.28485661
12.75,480,12.35428891
12.75,479,12.28485661
12.75,479,12.28485661
12.75,481,12.42372122
12.75,480,12.35428891
12.75,479,12.28485661
12.75,482,12.49315352
12.75,482,12.49315352
12.75,480,12.35428891
12.75,480,12.35428891
12.75,484,12.63201814
13.5,482,12.49315352
13.5,483,12.56258583
13.5,485,12.70145044
13.5,484,12.63201814
13.5,484,12.63201814
13.5,487,12.84031505
13.5,485,12.70145044
13.5,484,12.63201814
13.5,487,12.84031505
13.5,487,12.84031505
13.5,487,12.84031505
13.5,487,12.84031505
13.5,489,12.97917967
13.5,487,12.84031505
13.5,488,12.90974736
13.5,490,13.04861197
13.5,488,12.90974736
13.5,489,12.97917967
13.5,491,13.11804428
13.5,490,13.04861197
13.5,489,12.97917967
13.5,491,13.11804428
13.5,492,13.18747658
13.5,490,13.04861197
13.5,492,13.18747658
14.25,493,13.25690889
14.25,491,13.11804428
14.25,493,13.25690889
14.25,495,13.3957735
14.25,495,13.3957735
14.25,493,13.25690889
14.25,496,13.46520581
14.25,495,13.3957735
14.25,494,13.3263412
14.25,496,13.46520581
14.25,497,13.53463811
14.25,495,13.3957735
14.25,497,13.53463811
14.25,499,13.67350273
14.25,497,13.53463811
14.25,497,13.53463811
14.25,501,13.81236734
14.25,499,13.67350273
14.25,498,13.60407042
14.25,500,13.74293503
14.25,500,13.74293503
14.25,499,13.67350273
15,501,13.81236734
15,503,13.95123195
15,501,13.81236734
15.75,502,13.88179964
15.75,504,14.02066426
15.75,503,13.95123195
15.75,503,13.95123195
15.75,505,14.09009656
15.75,504,14.02066426
15.75,504,14.02066426
15.75,506,14.15952887
15.75,507,14.22896117
15.75,505,14.09009656
15.75,509,14.36782579
15.75,508,14.29839348
15.75,507,14.22896117
15.75,508,14.29839348
15.75,510,14.43725809
15.75,509,14.36782579
15.75,508,14.29839348
15,511,14.5066904
15,510,14.43725809
15,509,14.36782579
15,512,14.5761227
15,512,14.5761227
15,510,14.43725809
15,512,14.5761227
15,514,14.71498732
15,512,14.5761227
15,512,14.5761227
15,515,14.78441962
15,513,14.64555501
15,513,14.64555501
15,515,14.78441962
15,515,14.78441962
15,514,14.71498732
15,516,14.85385193
15,517,14.92328423
15,515,14.78441962
15,516,14.85385193
15,518,14.99271654
15,516,14.85385193
15.75,516,14.85385193
15.75,519,15.06214885
15.75,516,14.85385193
15.75,517,14.92328423
15.75,520,15.13158115
15.75,519,15.06214885
15.75,518,14.99271654
15.75,520,15.13158115
15.75,521,15.20101346
15.75,519,15.06214885
15.75,520,15.13158115
15.75,522,15.27044576
15.75,520,15.13158115
15.75,521,15.20101346
15.75,522,15.27044576
15.75,522,15.27044576
15.75,521,15.20101346
15.75,523,15.33987807
15.75,523,15.33987807
15.75,522,15.27044576
15.75,524,15.40931038
15.75,525,15.47874268
15.75,523,15.33987807
15.75,524,15.40931038
15.75,527,15.61760729
15.75,524,15.40931038
15.75,525,15.47874268
15.75,527,15.61760729
15.75,526,15.54817499
15.75,525,15.47874268
15.75,528,15.6870396
15.75,528,15.6870396
16.5,526,15.54817499
16.5,529,15.75647191
16.5,529,15.75647191
16.5,527,15.61760729
16.5,529,15.75647191
16.5,531,15.89533652
16.5,529,15.75647191
16.5,529,15.75647191
16.5,532,15.96476883
16.5,531,15.89533652
16.5,529,15.75647191
16.5,532,15.96476883
16.5,532,15.96476883
16.5,531,15.89533652
16.5,533,16.03420113
16.5,534,16.10363344
16.5,532,15.96476883
16.5,533,16.03420113
16.5,536,16.24249805
16.5,533,16.03420113
16.5,533,16.03420113
16.5,536,16.24249805
16.5,535,16.17306574
16.5,534,16.10363344
16.5,536,16.24249805
16.5,537,16.31193036
16.5,535,16.17306574
16.5,537,16.31193036
16.5,538,16.38136266
17.25,536,16.24249805
17.25,537,16.31193036
17.25,539,16.45079497
17.25,537,16.31193036
17.25,538,16.38136266
17.25,541,16.58965958
17.25,539,16.45079497
17.25,538,16.38136266
17.25,542,16.65909189
17.25,542,16.65909189
17.25,539,16.45079497
17.25,542,16.65909189
17.25,543,16.72852419
17.25,541,16.58965958
17.25,542,16.65909189
17.25,547,17.00625342
17.25,542,16.65909189
17.25,542,16.65909189
17.25,545,16.8673888
17.25,544,16.7979565
17.25,543,16.72852419
17.25,545,16.8673888
17.25,546,16.93682111
17.25,544,16.7979565
17.25,546,16.93682111
17.25,547,17.00625342
17.25,545,16.8673888
17.25,546,16.93682111
17.25,548,17.07568572
18,547,17.00625342
18,547,17.00625342
18,550,17.21455033
18,549,17.14511803
18.75,548,17.07568572
18.75,551,17.28398264
18.75,551,17.28398264
18.75,549,17.14511803
18.75,551,17.28398264
18.75,553,17.42284725
18.75,550,17.21455033
18.75,552,17.35341495
18.75,554,17.49227956
18.75,552,17.35341495
18.75,552,17.35341495
18.75,555,17.56171186
18.75,554,17.49227956
18.75,552,17.35341495
18.75,555,17.56171186
18,556,17.63114417
18,554,17.49227956
18,556,17.63114417
18,558,17.77000878
18,555,17.56171186
18,556,17.63114417
18,558,17.77000878
18,557,17.70057648
18,556,17.63114417
18,559,17.83944109
18,561,17.9783057
18,557,17.70057648
18,559,17.83944109
18,560,17.90887339
18,558,17.77000878
18,560,17.90887339
18,561,17.9783057
18,559,17.83944109
18,560,17.90887339
18.75,562,18.04773801
18.75,561,17.9783057
18.75,560,17.90887339
18.75,565,18.25603492
18.75,562,18.04773801
18.75,561,17.9783057
18.75,563,18.11717031
18.75,564,18.18660262
18.75,562,18.04773801
18.75,563,18.11717031
18.75,566,18.32546723
18.75,563,18.11717031
18.75,564,18.18660262
18.75,566,18.32546723
18,564,18.18660262
18,564,18.18660262
18,566,18.32546723
18,566,18.32546723
18,564,18.18660262
18,567,18.39489954
18,567,18.39489954
18,565,18.25603492
18.75,567,18.39489954
18.75,568,18.46433184
18.75,566,18.32546723
18.75,567,18.39489954
18.75,569,18.53376415
18.75,568,18.46433184
18.75,567,18.39489954
18.75,570,18.60319645
18.75,569,18.53376415
18.75,567,18.39489954
18.75,570,18.60319645
18.75,570,18.60319645
18.75,570,18.60319645
18.75,570,18.60319645
18.75,572,18.74206107
18.75,570,18.60319645
18.75,570,18.60319645
18.75,573,18.81149337
18.75,571,18.67262876
19.5,571,18.67262876
19.5,573,18.81149337
19.5,573,18.81149337
19.5,571,18.67262876
19.5,574,18.88092568
19.5,575,18.95035798
19.5,572,18.74206107
19.5,574,18.88092568
19.5,576,19.01979029
19.5,574,18.88092568
19.5,575,18.95035798
19.5,577,19.0892226
19.5,576,19.01979029
19.5,575,18.95035798
19.5,578,19.1586549
19.5,577,19.0892226
19.5,576,19.01979029
19.5,578,19.1586549
19.5,579,19.22808721
19.5,576,19.01979029
19.5,578,19.1586549
19.5,580,19.29751951
19.5,578,19.1586549
19.5,579,19.22808721
19.5,582,19.43638413
19.5,579,19.22808721
20.25,579,19.22808721
20.25,582,19.43638413
20.25,581,19.36695182
20.25,580,19.29751951
21,583,19.50581643
21,583,19.50581643
21,581,19.36695182
21,583,19.50581643
21,585,19.64468104
21,583,19.50581643
21,585,19.64468104
21,586,19.71411335
21,585,19.64468104
21,584,19.57524874
21,587,19.78354566
21,587,19.78354566
21,585,19.64468104
21,588,19.85297796
21,588,19.85297796
21,586,19.71411335
21,588,19.85297796
21,590,19.99184257
21,587,19.78354566
20.25,588,19.85297796
20.25,591,20.06127488
20.25,589,19.92241027
20.25,588,19.85297796
20.25,592,20.13070719
20.25,590,19.99184257
20.25,590,19.99184257
20.25,592,20.13070719
20.25,592,20.13070719
20.25,590,19.99184257
20.25,592,20.13070719
20.25,593,20.20013949
20.25,591,20.06127488
20.25,592,20.13070719
20.25,594,20.2695718
20.25,592,20.13070719
20.25,592,20.13070719
20.25,595,20.3390041
20.25,592,20.13070719
21,593,20.20013949
21,595,20.3390041
21,595,20.3390041
21,593,20.20013949
21,596,20.40843641
21,597,20.47786872
21,594,20.2695718
21,596,20.40843641
21,598,20.54730102
21,596,20.40843641
21,595,20.3390041
21,597,20.47786872
21,597,20.47786872
21,596,20.40843641
21,599,20.61673333
21,599,20.61673333
21,597,20.47786872
21,598,20.54730102
21,601,20.75559794
21,598,20.54730102
21,599,20.61673333
21,601,20.75559794
21,599,20.61673333
21,598,20.54730102
21,601,20.75559794
21,601,20.75559794
21,599,20.61673333
21,602,20.82503025
21,602,20.82503025
21,600,20.68616563
21,601,20.75559794
21.75,603,20.89446255
21.75,601,20.75559794
21.75,602,20.82503025
21.75,605,21.03332716
21.75,603,20.89446255
21.75,603,20.89446255
21.75,605,21.03332716
22.5,605,21.03332716
22.5,603,20.89446255
22.5,606,21.10275947
22.5,607,21.17219178
22.5,602,20.82503025
22.5,606,21.10275947
22.5,608,21.24162408
22.5,606,21.10275947
22.5,607,21.17219178
22.5,610,21.38048869
22.5,608,21.24162408
22.5,607,21.17219178
22.5,610,21.38048869
22.5,610,21.38048869
22.5,608,21.24162408
22.5,610,21.38048869
22.5,611,21.449921
22.5,609,21.31105639
22.5,610,21.38048869
22.5,612,21.51935331
21.75,610,21.38048869
21.75,610,21.38048869
21.75,613,21.58878561
21.75,613,21.58878561
21.75,610,21.38048869
21.75,613,21.58878561
21.75,613,21.58878561
21.75,611,21.449921
21.75,614,21.65821792
21.75,615,21.72765023
21.75,613,21.58878561
21.75,613,21.58878561
21.75,616,21.79708253
21.75,613,21.58878561
21.75,613,21.58878561
21.75,616,21.79708253
21.75,615,21.72765023
21.75,614,21.65821792
21.75,616,21.79708253
21.75,616,21.79708253
21.75,614,21.65821792
21.75,616,21.79708253
21.75,618,21.93594714
21.75,615,21.72765023
22.5,616,21.79708253
22.5,619,22.00537945
22.5,617,21.86651484
22.5,616,21.79708253
