S.no,sensVal,waveAmplitude
1,122,-200521.23
2,125,-205452.09
3,123,-202164.85
4,121,-298316.43
5,124,-305712.68
6,126,-310643.56
7,123,-202164.85
8,122,-200521.23
9,126,-207095.7
10,126,-310643.56
11,123,-303247.28
12,124,-305712.68
13,128,-210382.93
14,126,-207095.7
15,123,-202164.85
16,125,-308178.12
17,128,-315574.4
18,126,-310643.56
19,124,-203808.46
20,128,-210382.93
21,129,-318039.81
22,126,-310643.56
23,125,-308178.12
24,129,-212026.56
25,130,-213670.17
26,127,-208739.32
27,127,-313108.96
28,131,-322970.68
29,130,-320505.25
30,128,-210382.93
31,129,-212026.56
32,132,-216957.4
33,131,-322970.68
34,128,-315574.4
35,131,-322970.68
36,133,-218601.01
37,131,-215313.79
38,129,-318039.81
39,133,-327901.53
40,134,-330366.93
41,131,-215313.79
42,131,-215313.79
43,135,-221888.25
44,134,-330366.93
45,131,-322970.68
46,133,-327901.53
47,136,-223531.87
48,135,-221888.25
49,132,-325436.09
50,135,-332832.37
51,137,-337763.21
52,135,-221888.25
53,133,-218601.01
54,136,-223531.87
55,138,-340228.65
56,135,-332832.37
57,134,-330366.93
58,138,-226819.1
59,138,-226819.1
60,135,-221888.25
61,136,-335297.81
62,139,-342694.06
63,138,-340228.65
64,135,-221888.25
65,137,-225175.48
66,140,-345159.5
67,138,-340228.65
68,136,-335297.81
69,139,-228462.71
70,141,-231749.95
71,138,-226819.1
72,137,-337763.21
73,141,-347624.93
74,141,-347624.93
75,138,-226819.1
76,139,-228462.71
77,142,-233393.57
78,141,-347624.93
79,138,-340228.65
80,140,-345159.5
81,143,-235037.18
82,141,-231749.95
83,139,-342694.06
84,142,-350090.34
85,144,-355021.18
86,141,-231749.95
87,139,-228462.71
88,143,-235037.18
89,144,-355021.18
90,140,-345159.5
91,141,-347624.93
92,144,-236680.81
93,143,-235037.18
94,141,-231749.95
95,143,-352555.78
96,145,-357486.62
97,143,-352555.78
98,141,-231749.95
99,144,-236680.81
100,146,-359952.06
101,143,-352555.78
102,142,-350090.34
103,145,-238324.42
104,146,-239968.04
105,143,-235037.18
106,143,-352555.78
107,146,-359952.06
108,146,-359952.06
109,143,-235037.18
110,144,-236680.81
111,147,-241611.65
112,145,-357486.62
113,143,-352555.78
114,145,-357486.62
115,148,-243255.28
116,145,-238324.42
117,143,-352555.78
118,146,-359952.06
119,148,-364882.9
120,145,-238324.42
121,144,-236680.81
122,148,-243255.28
123,147,-362417.46
124,144,-355021.18
125,146,-359952.06
126,149,-244898.89
127,147,-241611.65
128,144,-236680.81
129,147,-362417.46
130,149,-367348.31
131,146,-359952.06
132,144,-236680.81
133,148,-243255.28
134,149,-367348.31
135,146,-359952.06
136,145,-357486.62
137,149,-244898.89
138,148,-243255.28
139,145,-238324.42
140,146,-359952.06
141,149,-367348.31
142,148,-364882.9
143,145,-238324.42
144,147,-241611.65
145,150,-246542.5
146,147,-362417.46
147,146,-359952.06
148,148,-364882.9
149,150,-246542.5
150,146,-239968.04
151,146,-359952.06
152,149,-367348.31
153,150,-369813.75
154,146,-239968.04
155,146,-239968.04
156,150,-246542.5
157,149,-367348.31
158,146,-359952.06
159,147,-362417.46
160,150,-246542.5
161,148,-243255.28
162,146,-179976.03
163,148,-364882.9
164,150,-369813.75
165,147,-362417.46
166,146,-239968.04
167,149,-244898.89
168,150,-246542.5
169,146,-359952.06
170,147,-362417.46
171,150,-184906.89
172,149,-244898.89
173,146,-239968.04
174,148,-243255.28
175,150,-369813.75
176,148,-364882.9
177,146,-179976.03
178,149,-244898.89
179,150,-246542.5
180,147,-241611.65
181,146,-359952.06
182,149,-367348.31
183,150,-184906.89
184,146,-239968.04
185,146,-239968.04
186,149,-244898.89
187,149,-367348.31
188,146,-359952.06
189,147,-181208.75
190,150,-246542.5
191,148,-364882.9
192,146,-239968.04
193,148,-364882.9
194,150,-246542.5
195,147,-181208.75
196,146,-239968.04
197,149,-367348.31
198,150,-369813.75
199,146,-359952.06
200,146,-239968.04
201,149,-183674.17
202,149,-244898.89
203,145,-357486.62
204,146,-359952.06
205,150,-369813.75
206,148,-243255.28
207,145,-238324.42
208,147,-241611.65
209,149,-367348.31
210,146,-359952.06
211,145,-357486.62
212,148,-243255.28
213,149,-244898.89
214,145,-357486.62
215,145,-357486.62
216,149,-367348.31
217,149,-244898.89
218,145,-238324.42
219,146,-239968.04
220,149,-367348.31
221,147,-362417.46
222,144,-355021.18
223,146,-239968.04
224,149,-244898.89
225,146,-239968.04
226,144,-355021.18
227,147,-362417.46
228,149,-244898.89
229,145,-238324.42
230,144,-236680.81
231,148,-364882.9
232,148,-364882.9
233,144,-355021.18
234,145,-238324.42
235,148,-243255.28
236,147,-241611.65
237,144,-355021.18
238,146,-359952.06
239,148,-364882.9
240,146,-239968.04
241,144,-236680.81
242,146,-239968.04
243,148,-364882.9
244,145,-357486.62
245,144,-355021.18
246,147,-241611.65
247,147,-241611.65
248,144,-355021.18
249,144,-355021.18
250,148,-364882.9
251,146,-239968.04
252,143,-235037.18
253,145,-238324.42
254,148,-364882.9
255,145,-357486.62
256,143,-352555.78
257,146,-239968.04
258,147,-241611.65
259,144,-236680.81
260,143,-352555.78
261,146,-359952.06
262,147,-362417.46
263,144,-236680.81
264,144,-236680.81
265,147,-362417.46
266,146,-359952.06
267,143,-352555.78
268,144,-236680.81
269,147,-241611.65
270,145,-238324.42
271,142,-350090.34
272,145,-357486.62
273,147,-362417.46
274,144,-236680.81
275,142,-233393.57
276,145,-357486.62
277,146,-359952.06
278,143,-352555.78
279,143,-235037.18
280,146,-239968.04
281,145,-238324.42
282,142,-350090.34
283,143,-352555.78
284,146,-359952.06
285,144,-236680.81
286,141,-231749.95
287,144,-236680.81
288,146,-359952.06
289,143,-352555.78
290,142,-350090.34
291,145,-238324.42
292,146,-239968.04
293,142,-233393.57
294,142,-350090.34
295,145,-357486.62
296,145,-357486.62
297,141,-231749.95
298,142,-233393.57
299,146,-359952.06
300,144,-355021.18
301,141,-347624.93
302,144,-236680.81
303,146,-239968.04
304,143,-235037.18
305,141,-347624.93
306,144,-355021.18
307,145,-357486.62
308,142,-233393.57
309,141,-231749.95
310,144,-236680.81
311,144,-355021.18
312,141,-347624.93
313,142,-350090.34
314,145,-238324.42
315,143,-235037.18
316,140,-345159.5
317,142,-350090.34
318,145,-357486.62
319,142,-233393.57
320,140,-230106.34
321,143,-235037.18
322,144,-355021.18
323,141,-347624.93
324,140,-345159.5
325,144,-236680.81
326,144,-236680.81
327,140,-230106.34
328,140,-345159.5
329,144,-355021.18
330,142,-350090.34
331,140,-230106.34
332,141,-231749.95
333,144,-236680.81
334,141,-347624.93
335,139,-342694.06
336,141,-347624.93
337,142,-233393.57
338,139,-228462.71
339,137,-337763.21
340,140,-345159.5
341,140,-345159.5
342,137,-225175.48
343,137,-225175.48
344,141,-231749.95
345,140,-345159.5
346,137,-337763.21
347,139,-342694.06
348,141,-231749.95
349,140,-230106.34
350,137,-225175.48
351,140,-345159.5
352,142,-350090.34
353,139,-342694.06
354,137,-225175.48
355,141,-231749.95
356,142,-350090.34
357,139,-342694.06
358,138,-340228.65
359,142,-233393.57
360,141,-231749.95
361,138,-226819.1
362,139,-342694.06
363,142,-350090.34
364,140,-345159.5
365,137,-225175.48
366,140,-230106.34
367,142,-233393.57
368,140,-345159.5
369,138,-340228.65
370,140,-345159.5
371,142,-233393.57
372,138,-226819.1
373,138,-226819.1
374,141,-347624.93
375,141,-347624.93
376,138,-340228.65
377,138,-226819.1
378,141,-231749.95
379,140,-230106.34
380,137,-337763.21
381,139,-342694.06
382,142,-175045.18
383,139,-228462.71
384,137,-225175.48
385,139,-228462.71
386,141,-347624.93
387,138,-340228.65
388,137,-168881.62
389,140,-230106.34
390,141,-231749.95
391,137,-225175.48
392,137,-337763.21
393,141,-347624.93
394,140,-172579.76
395,137,-225175.48
396,138,-340228.65
397,141,-231749.95
398,139,-342694.06
399,137,-225175.48
400,139,-171347.04
401,141,-231749.95
402,138,-340228.65
403,136,-223531.87
404,139,-342694.06
405,140,-230106.34
406,137,-168881.62
407,136,-223531.87
408,140,-345159.5
409,139,-228462.71
410,136,-335297.81
411,137,-225175.48
412,140,-172579.76
413,139,-228462.71
414,136,-335297.81
415,138,-340228.65
416,140,-230106.34
417,138,-226819.1
418,136,-167648.9
419,138,-340228.65
420,140,-345159.5
421,137,-337763.21
422,136,-223531.87
423,139,-228462.71
424,139,-228462.71
425,136,-335297.81
426,136,-335297.81
427,139,-342694.06
428,138,-226819.1
429,135,-221888.25
430,137,-225175.48
431,140,-345159.5
432,138,-340228.65
433,135,-332832.37
434,137,-225175.48
435,139,-228462.71
436,136,-335297.81
437,134,-330366.93
438,137,-337763.21
439,138,-226819.1
440,135,-221888.25
441,134,-220244.64
442,138,-340228.65
443,138,-340228.65
444,134,-330366.93
445,135,-221888.25
446,138,-226819.1
447,137,-225175.48
448,134,-330366.93
449,136,-335297.81
450,138,-340228.65
451,136,-223531.87
452,134,-220244.64
453,137,-337763.21
454,138,-340228.65
455,135,-332832.37
456,134,-220244.64
457,137,-225175.48
458,137,-225175.48
459,134,-330366.93
460,134,-330366.93
461,137,-337763.21
462,136,-223531.87
463,133,-218601.01
464,135,-332832.37
465,137,-337763.21
466,135,-332832.37
467,133,-218601.01
468,135,-221888.25
469,137,-225175.48
470,134,-330366.93
471,132,-325436.09
472,135,-332832.37
473,136,-223531.87
474,132,-216957.4
475,133,-218601.01
476,136,-335297.81
477,135,-332832.37
478,132,-325436.09
479,133,-218601.01
480,136,-223531.87
481,135,-332832.37
482,132,-325436.09
483,134,-330366.93
484,136,-223531.87
485,134,-220244.64
486,132,-216957.4
487,135,-332832.37
488,136,-335297.81
489,133,-327901.53
490,132,-216957.4
491,136,-223531.87
492,136,-223531.87
493,132,-325436.09
494,133,-327901.53
495,136,-335297.81
496,135,-221888.25
497,132,-216957.4
498,134,-330366.93
499,136,-335297.81
