pressure_mmHg,sensVal,waveAmplitude
pressure_mmHg, sensVal, waveAmplitude,
13.50,622.00,-1022329.62,
13.50,622.00,-1533494.37,
13.50,622.00,-1022329.62,
13.50,622.00,-1533494.37,
13.50,621.00,-1531028.87,
13.50,622.00,-1022329.62,
13.50,622.00,-1533494.37,
13.50,621.00,-1020686.00,
13.50,622.00,-1533494.37,
13.50,622.00,-1022329.62,
13.50,622.00,-1022329.62,
13.50,621.00,-1531028.87,
13.50,622.00,-1022329.62,
13.50,622.00,-1533494.37,
13.50,621.00,-1020686.00,
14.25,622.00,-1533494.37,
14.25,622.00,-1022329.62,
14.25,621.00,-1531028.87,
14.25,621.00,-1531028.87,
14.25,622.00,-1022329.62,
13.50,622.00,-1533494.37,
13.50,622.00,-1022329.62,
14.25,622.00,-1533494.37,
13.50,622.00,-1022329.62,
13.50,622.00,-1022329.62,
13.50,621.00,-1531028.87,
13.50,622.00,-1022329.62,
13.50,622.00,-1533494.37,
13.50,621.00,-1020686.00,
13.50,621.00,-1531028.87,
13.50,622.00,-1533494.37,
13.50,622.00,-1022329.62,
13.50,621.00,-1531028.87,
13.50,622.00,-1022329.62,
13.50,622.00,-1533494.37,
13.50,621.00,-1020686.00,
13.50,621.00,-765514.50,
13.50,622.00,-1533494.37,
13.50,622.00,-1022329.62,
13.50,621.00,-1531028.87,
13.50,622.00,-1022329.62,
13.50,622.00,-1533494.37,
13.50,622.00,-1022329.62,
13.50,622.00,-1022329.62,
13.50,622.00,-1533494.37,
13.50,622.00,-1022329.62,
13.50,622.00,-1533494.37,
13.50,622.00,-1022329.62,
13.50,622.00,-1533494.37,
13.50,621.00,-1531028.87,
13.50,622.00,-1022329.62,
13.50,622.00,-1533494.37,
13.50,622.00,-1022329.62,
13.50,621.00,-1531028.87,
13.50,622.00,-1022329.62,
13.50,622.00,-1022329.62,
14.25,622.00,-1533494.37,
14.25,622.00,-1022329.62,
14.25,622.00,-1533494.37,
14.25,622.00,-1022329.62,
14.25,622.00,-1533494.37,
14.25,622.00,-1533494.37,
14.25,622.00,-766747.25,
14.25,622.00,-1533494.37,
14.25,622.00,-1022329.62,
14.25,622.00,-1533494.37,
14.25,623.00,-1023973.18,
14.25,622.00,-1022329.62,
14.25,623.00,-1535959.75,
14.25,623.00,-1023973.18,
14.25,622.00,-1533494.37,
14.25,623.00,-1023973.18,
14.25,623.00,-1535959.75,
14.25,623.00,-1535959.75,
14.25,623.00,-1023973.18,
14.25,623.00,-1535959.75,
14.25,623.00,-1023973.18,
14.25,623.00,-1535959.75,
14.25,623.00,-1535959.75,
14.25,624.00,-1025616.81,
14.25,624.00,-1538425.25,
14.25,623.00,-1023973.18,
15.00,624.00,-1538425.25,
15.00,624.00,-1025616.81,
15.00,624.00,-1025616.81,
15.00,624.00,-1538425.25,
15.00,625.00,-1027260.43,
15.75,625.00,-1540890.62,
15.75,625.00,-1027260.43,
16.50,625.00,-1540890.62,
16.50,626.00,-1543356.00,
16.50,626.00,-1028904.06,
16.50,626.00,-1543356.00,
16.50,627.00,-1030547.68,
16.50,627.00,-1545821.50,
16.50,627.00,-1030547.68,
16.50,628.00,-1548286.87,
16.50,628.00,-1032191.31,
16.50,629.00,-1550752.37,
16.50,629.00,-1550752.37,
16.50,630.00,-1035478.50,
16.50,630.00,-1553217.75,
16.50,630.00,-1035478.50,
16.50,630.00,-1553217.75,
16.50,631.00,-1037122.12,
16.50,631.00,-1037122.12,
16.50,631.00,-1555683.12,
16.50,632.00,-1038765.75,
16.50,632.00,-1558148.62,
16.50,632.00,-1038765.75,
16.50,632.00,-1558148.62,
16.50,633.00,-1560614.00,
16.50,633.00,-1040409.37,
16.50,633.00,-1560614.00,
16.50,634.00,-1042053.00,
16.50,634.00,-1563079.50,
16.50,634.00,-781539.81,
16.50,634.00,-1563079.50,
15.75,634.00,-1042053.00,
