pressure_mmHg,sensVal,waveAmplitude,
pressure_mmHg, sensVal, waveAmplitude,
0,115,-2851.79,7.984715193
0,117,-2901.38,8.123579805
0,117,-2901.38,8.123579805
0,114,-2826.99,7.915282887
0,113,-2753.56,7.845850581
0,116,-2876.59,8.054147499
0,116,-2876.59,8.054147499
0,113,-2706.6,7.845850581
0,112,-2729.2,7.776418275
0,115,-2802.3,7.984715193
0,116,-2826.67,8.054147499
0,114,-2826.99,7.915282887
0,112,-2777.39,7.776418275
0,114,-2777.93,7.915282887
0,116,-2876.59,8.054147499
0,115,-2851.79,7.984715193
0,111,-2752.6,7.706985969
0,112,-2777.39,7.776418275
0,115,-2802.3,
0,115,-2802.3,
0,112,-2729.2,
0,111,-2752.6,
0,114,-2826.99,
0,115,-2851.79,
0,112,-2777.39,
0,111,-2752.6,
0,113,-2802.19,
0,114,-2826.99,
0,113,-2753.56,
0,109,-2656.09,
0,111,-2658.69,
0,114,-2826.99,
0,113,-2802.19,
0,110,-2680.46,
0,110,-2727.8,
0,113,-2802.19,
0,114,-2826.99,
0,111,-2752.6,
0,110,-2727.8,
0,112,-2729.2,
0,114,-2777.93,
0,112,-2729.2,
0,110,-2727.8,
0,111,-2752.6,
0,114,-2826.99,
0,112,-2777.39,
0,110,-2727.8,
0,110,-2727.8,
0,113,-2802.19,
0,113,-2753.56,
0,110,-2634.74,
0,109,-2656.09,
0,112,-2777.39,
0,114,-2777.93,
0,111,-2752.6,
0,113,-2802.19,
0,116,-2826.67,
0,121,-3000.58,
0,122,-3025.37,
0,122,-3025.37,
0,124,-3021.61,
0,128,-3119.08,
0,130,-3167.82,
0,129,-3198.96,
0,130,-3223.76,
0,134,-3322.95,
0,137,-3397.35,
0,136,-3372.55,
0,136,-3372.55,
0,139,-3446.94,
0,142,-3460.23,
0,143,-3484.6,
0,142,-3460.23,
0,144,-3570.93,
0,148,-3670.13,
0,149,-3694.92,
0,148,-3606.44,
0,148,-3670.13,
0,151,-3744.52,
0,154,-3752.65,
0,153,-3728.28,
0,152,-3703.91,
0,154,-3688.64,
0,158,-3850.12,
0,158,-3918.11,
0,155,-3777.01,
0,157,-3893.31,
0,161,-3992.5,
0,163,-3971.96,
0,161,-3992.5,
0,161,-3992.5,
0,165,-3952.11,
0,168,-4093.8,
0,166,-4045.06,
0,165,-4091.7,
0,168,-4166.09,
0,172,-4265.28,
0,173,-4290.08,
5.25,174,-4314.88,
15,178,-4414.07,
14.25,184,-4562.86,
14.25,188,-4503.01,
14.25,188,-4581.15,
14.25,189,-4605.52,
14.25,195,-4835.64,
14.25,200,-4959.63,
14.25,200,-4873.57,
14.25,200,-4959.63,
14.25,205,-5083.62,
14.25,209,-5182.81,
14.25,210,-5207.61,
14.25,210,-5117.24,
13.5,214,-5214.72,
14.25,219,-5336.55,
13.5,220,-5455.59,
13.5,219,-5336.55,
13.5,221,-5480.39,
13.5,226,-5604.38,
13.5,229,-5678.78,
13.5,227,-5629.18,
13.5,229,-5580.23,
13.5,234,-5702.07,
13.5,237,-5775.18,
13.5,236,-5750.81,
13.5,236,-5852.36,
13.5,241,-5976.35,
13.5,244,-6050.75,
13.5,244,-6050.75,
13.5,243,-6025.95,
13.5,247,-6018.85,
13.5,251,-6224.34,
13.5,251,-6224.34,
13.5,249,-6067.59,
13.5,252,-6140.69,
13.5,257,-6155.71,
13.5,257,-6373.13,
13.5,255,-6323.53,
13.5,257,-6373.13,
13.5,261,-6472.32,
13.5,262,-6497.12,
13.5,261,-6472.32,
13.5,262,-6497.12,
13.5,266,-6481.84,
13.5,268,-6530.58,
13.5,266,-6481.84,
13.5,266,-6596.31,
13.5,271,-6720.3,
13.5,273,-6769.9,
13.5,271,-6603.68,
13.5,271,-6720.3,
13.5,275,-6819.49,
13.5,278,-6893.89,
13.5,276,-6725.52,
13.5,276,-6610.81,
13.5,280,-6822.99,
13.5,283,-7017.88,
13.5,281,-6968.28,
13.5,281,-6968.28,
13.5,284,-6920.46,
13.5,287,-7117.07,
12.75,286,-7092.27,
12.75,284,-7042.68,
12.75,288,-7017.93,
13.5,291,-7091.04,
13.5,290,-7066.67,
13.5,288,-7141.87,
13.5,290,-7191.46,
13.5,294,-7164.14,
13.5,294,-7290.66,
13.5,292,-7241.06,
13.5,294,-7290.66,
13.5,298,-7389.85,
13.5,298,-7137.75,
13.5,296,-7212.88,
13.5,298,-7261.61,
13.5,302,-7489.04,
13.5,302,-7489.04,
13.5,300,-7310.35,
13.5,301,-7464.24,
